location,lat,long
hava lux,4.155655,9.265483
ice spark inno,4.154224,9.265482
ellis savior,4.153246,9.265681
ese kangs longrich,4.1553342,9.26348
sun shine fasion ,4.159345,9.263423
fracnzy market place,4.159323,9.263409
DJ jeff,4.159303,9.263419
danang vs vilox,4.156109,9.26349
soft mind IT,4.156243,9.263917
creative shoping,4.156292,9
blue lounge,4.156382,9.264297
easy lift cleaning service,4.156608,9.264816
mini caquet,4.155608,9.264981
cashshop/renters,4.1566799,9.265224
haustrireluftweg,4.156762,9.265422
ulisfood,4.156791,9.265797
yoliodinology,4.156827,9.265931
alpharelanguage institude,4.157036,9.267038
home land shoping,4.157036,9.267082
ebenezer house,4.157251,9.267638
the resulation best technique alumini,4.157454,9.263802
congeni,4.157542,9.268139
bondoma gate shoping mall,4.157627,9.263816
age and g importation,4.157782,9.268469
tech chantier,4.157972,9.268937
etanti driver union,4.158013,9.268937
Dand B,4.158098,9.269117
receive network buea,4.158125,9.269173
honorine grocery shop,4.158199,9.269517
zinc party cupcakes,4.158407,9.271589
deluxe ventinary service,4.158454,9.271747
dream body ficness,4.157521,9.270981
rew bakery,4.158502,9.272108
naomi dratelux stadio,4.155868,9.273032
figaw compux restorant,4.155624,9.273362
spiral solicitor,4.158651,9.273808
euro brice,4.158733,9.274374
Cnne a sycre +,4.159334,9.277704
T&B printing shop,4.159313,9.277798
catholic university,4.159207,9.278381
ST charce parish hail,4.159212,9.279389
infront of molyko stadium,4.159098,9.289694
hibmat campus A,4.158832,9.288058
Made underwear clofing dtore,4.159121,9.280766
K-store cellphone,4.159959,9.280691
fulness of the spirit,4.160513,9.280658
chines cite,4.161318,9.281265
garden of life,4.161551,9.281827
lukmet,4.166134,9.282544
hibmat campus b,4.16624,9.283562
